variant,outcome,focal_z,predicted_reactivity_db,ci95_pointwise_low,ci95_pointwise_high,other_scale_z_held,male_fraction_held,partnered_fraction_held
primary_posterior_roi_spline,STAI_trait,-1.170414305,5.692003608,4.644983772,6.739023444,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-1.152223926,5.682441076,4.653759112,6.71112304,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-1.134033546,5.67304195,4.661494592,6.684589307,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-1.115843166,5.663809706,4.668194044,6.659425369,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-1.097652787,5.654747822,4.67386636,6.635629284,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-1.079462407,5.645859773,4.67852577,6.613193777,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-1.061272028,5.637149038,4.682192022,6.592106053,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-1.043081648,5.628619091,4.684890492,6.57234769,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-1.024891269,5.620273411,4.68665219,6.553894632,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-1.006700889,5.612115473,4.687513669,6.536717278,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.9885105095,5.604148755,4.687516836,6.520780675,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.9703201299,5.596376733,4.686708667,6.5060448,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.9521297503,5.588802885,4.68514083,6.492464939,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.9339393708,5.581430686,4.68286924,6.479992131,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.9157489912,5.574263613,4.679953545,6.46857368,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.8975586116,5.567305143,4.676456572,6.458153715,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.8793682321,5.560558753,4.672443741,6.448673765,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.8611778525,5.55402792,4.667982477,6.440073363,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.8429874729,5.54771612,4.663141614,6.432290627,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.8247970934,5.54162683,4.657990831,6.42526283,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.8066067138,5.535763527,4.652600112,6.418926942,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.7884163342,5.530129687,4.647039252,6.413220123,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.7702259546,5.524728788,4.6413774,6.408080175,-1.264195561e-16,0.700729927,0.6058394161
