variant,outcome,n_participants,residual_mean,residual_sd,residual_skewness,residual_excess_kurtosis,breusch_pagan_lm,breusch_pagan_p,breusch_pagan_f,breusch_pagan_f_p,max_leverage,leverage_gt_2k_over_n,max_abs_external_studentized_residual,abs_external_studentized_gt_3,max_cooks_distance,cooks_distance_gt_4_over_n
primary_posterior_roi_spline,STAI_trait,137,-2.048645114e-15,2.943782955,0.2265577418,-0.4412616558,15.57286658,0.01623975886,2.778720865,0.01416586826,0.2403363879,9,2.60703007,0,0.05557421806,3
primary_posterior_roi_spline,MSPSS_total,137,-4.84932451e-15,2.927513928,0.194245594,-0.5801982456,13.99613755,0.02967933931,2.465366867,0.02725247869,0.6604350873,4,2.351855127,0,0.0608621433,6
